Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_players,EU_players,JP_players,Other_players,Global_players,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
3220,Ghostbusters: The Video Game,X360,2009,Action,Atari,0.43,0.14,0.0,0.06,0.63,79.0,53.0,8.5,125.0,Terminal Reality,T
3221,XCOM: Enemy Unknown,X360,2012,Strategy,Take-Two Interactive,0.36,0.21,0.0,0.05,0.62,90.0,35.0,8.3,366.0,Firaxis Games,M
3229,Family Feud: 2010 Edition,Wii,2009,Misc,Ubisoft,0.58,0.0,0.0,0.04,0.62,,,tbd,,Ludia Inc.,E
3231,LEGO Jurassic World,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.31,0.23,0.03,0.05,0.62,,,7.2,11.0,TT Games,E10+
3236,Just Dance 3,PS3,2011,Misc,Ubisoft,0.33,0.2,0.0,0.09,0.62,75.0,5.0,6,7.0,Ubisoft,E10+
3237,LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Action,Disney Interactive Studios,0.29,0.27,0.0,0.06,0.62,71.0,16.0,7.3,20.0,Traveller's Tales,E10+
3239,The Princess and the Frog,DS,2009,Platform,Disney Interactive Studios,0.41,0.16,0.0,0.05,0.62,,,tbd,,Griptonite Games,E
3240,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.27,0.25,0.0,0.1,0.62,,,,,,
3244,Guitar Hero: Metallica,PS3,2009,Misc,Activision,0.28,0.24,0.0,0.1,0.62,86.0,44.0,8,48.0,Neversoft Entertainment,T
3248,Red Steel 2,Wii,2010,Shooter,Ubisoft,0.35,0.2,0.01,0.06,0.62,80.0,73.0,8.6,178.0,Ubisoft Paris,T
3251,Mafia III,XOne,2016,Action,Take-Two Interactive,0.28,0.29,0.0,0.05,0.62,67.0,20.0,4.6,274.0,Hangar 13,M
3252,Bolt,DS,2008,Adventure,Disney Interactive Studios,0.35,0.21,0.0,0.06,0.62,,,,,,
3257,Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,0.3,0.26,0.0,0.06,0.62,74.0,69.0,7.8,112.0,Ubisoft Montreal,T
3258,Warriors Orochi 3,PS3,2011,Action,Ubisoft Annecy,0.0,0.04,0.57,0.01,0.62,70.0,17.0,7.9,35.0,Omega Force,T
3260,DJ Hero 2,Wii,2010,Misc,Activision,0.48,0.09,0.0,0.04,0.62,88.0,20.0,7.5,17.0,FreeStyleGames,T
3261,Toshochu: Run for Money,3DS,2012,Adventure,Namco Bandai Games,0.0,0.0,0.62,0.0,0.62,,,,,,
3262,Dragon Quest Monsters: Joker 2 Professional,DS,2011,Role-Playing,Square Enix,0.0,0.0,0.62,0.0,0.62,,,,,,
3265,Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,Electronic Arts,0.4,0.16,0.0,0.05,0.62,80.0,50.0,6.1,25.0,Electronic Arts,E
3266,Battle of Giants: Dragons,DS,2009,Strategy,Ubisoft,0.3,0.25,0.0,0.06,0.62,,,6,4.0,Ubisoft Quebec,E10+
3267,Wall-E,X360,2008,Platform,THQ,0.29,0.26,0.0,0.07,0.62,50.0,32.0,6.3,6.0,Heavy Iron Studios,E
3268,Start the Party!,PS3,2010,Misc,Sony Computer Entertainment,0.07,0.41,0.0,0.13,0.62,,,,,,
3270,Harry Potter and the Half-Blood Prince,DS,2009,Action,Electronic Arts,0.2,0.34,0.0,0.07,0.61,48.0,9.0,4.3,7.0,EA Bright Light,E
3271,NieR,PS3,2010,Role-Playing,Square Enix,0.17,0.18,0.2,0.07,0.61,68.0,58.0,8.4,263.0,Cavia Inc.,M
3272,2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,33.0,4.3,87.0,EA Canada,E
3274,NBA 2K9,PS3,2008,Sports,Take-Two Interactive,0.56,0.0,0.0,0.05,0.61,82.0,30.0,7,37.0,Visual Concepts,E
3276,SingStar Singalong With Disney,PS2,2008,Misc,Sony Computer Entertainment,0.0,0.04,0.0,0.57,0.61,,,,,,
3279,Wet,PS3,2009,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.61,70.0,61.0,6.4,55.0,Artificial Mind and Movement,M
3280,Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,505 Games,0.5,0.07,0.0,0.05,0.61,56.0,6.0,6,7.0,Cooking Mama Limited,E
3281,Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.56,0.01,0.0,0.05,0.61,73.0,13.0,7.4,21.0,5TH Cell,E10+
3282,The Black Eyed Peas Experience,Wii,2011,Misc,Ubisoft,0.37,0.19,0.0,0.06,0.61,,,tbd,,Ubisoft Quebec,T
3284,Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,Nintendo,0.29,0.02,0.27,0.03,0.61,81.0,42.0,7,106.0,Intelligent Systems,E10+
3285,Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61,75.0,23.0,7.6,259.0,PopCap,E10+
3286,Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,0.42,0.05,0.0,0.14,0.61,91.0,48.0,9.3,316.0,Retro Studios,T
3289,Disney Universe,PS3,2011,Action,Disney Interactive Studios,0.3,0.22,0.0,0.09,0.61,70.0,29.0,6.9,13.0,Eurocom Entertainment Software,E10+
3291,Jak and Daxter: The Lost Frontier,PSP,2009,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.61,71.0,47.0,6.3,28.0,High Impact Games,E10+
3294,WWE SmackDown vs. Raw 2010,PSP,2009,Fighting,THQ,0.25,0.22,0.0,0.14,0.61,,,6.6,8.0,Yuke's,T
3295,Vanquish,PS3,2010,Shooter,Sega,0.21,0.21,0.11,0.08,0.61,84.0,61.0,8.1,304.0,PlatinumGames,M
3297,Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,0.14,0.34,0.0,0.14,0.61,87.0,82.0,8.9,391.0,Media Molecule,E
3301,Tony Hawk: RIDE,X360,2009,Sports,Activision,0.46,0.1,0.0,0.05,0.61,46.0,43.0,3,67.0,Robomodo,E10+
3302,Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.1,0.61,77.0,24.0,6.3,130.0,2K Australia,M
3303,Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,0.56,0.0,0.0,0.05,0.61,70.0,28.0,5.9,34.0,Kush Games,E
3304,Sacred 2: Fallen Angel,PS3,2009,Role-Playing,Deep Silver,0.22,0.22,0.08,0.09,0.61,70.0,45.0,7.1,51.0,"Ascaron Entertainment GmbH, Ascaron Entertainment",M
3305,pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,0.09,0.44,0.0,0.07,0.61,79.0,43.0,5.9,33.0,Konami,E
3306,Major League Baseball 2K9,X360,2009,Sports,Spike,0.56,0.0,0.0,0.05,0.61,64.0,29.0,5.3,26.0,2K Sports,E
3308,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.07,0.61,58.0,26.0,5.4,77.0,Spike,T
3310,Tomb Raider (2013),XOne,2014,Action,Square Enix,0.35,0.21,0.0,0.05,0.61,,,,,,
3311,Petz: Dogz Pack,DS,2008,Simulation,Ubisoft,0.56,0.0,0.0,0.05,0.61,,,,,,
3319,MySims Racing,DS,2009,Racing,Electronic Arts,0.25,0.29,0.0,0.07,0.61,67.0,11.0,7.3,4.0,EA Games,E
3321,Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,0.47,0.08,0.01,0.04,0.61,59.0,14.0,5.9,8.0,TOSE,E10+
3322,Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,0.57,0.0,0.0,0.03,0.61,,,tbd,,FUN Labs,T
3324,Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.21,0.23,0.08,0.09,0.6,,,,,,
3326,World of Zoo,Wii,2009,Simulation,THQ,0.4,0.15,0.0,0.05,0.6,,,8.2,6.0,Blue Fang Games,E
3329,Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,43.0,25.0,3.6,295.0,Gearbox Software,M
3331,Yakuza: Dead Souls,PS3,2011,Shooter,Sega,0.09,0.06,0.42,0.03,0.6,64.0,55.0,7.4,69.0,Ryu ga Gotoku Studios,M
3333,MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,Role-Playing,Capcom,0.0,0.0,0.6,0.0,0.6,,,,,,
3334,Dead Island: Riptide,PS3,2013,Action,Deep Silver,0.26,0.19,0.07,0.09,0.6,62.0,25.0,5.9,140.0,Techland,M
3335,Just Dance 2015,X360,2014,Misc,Ubisoft,0.42,0.13,0.0,0.06,0.6,,,8.3,6.0,Ubisoft,E10+
3336,Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,60.0,53.0,5.1,144.0,Microsoft Game Studios,E10+
3338,Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,68.0,26.0,8.5,75.0,Omega Force,T
3340,Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,71.0,10.0,7.6,58.0,Avalanche Software,E10+
3341,Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,0.13,0.18,0.0,0.29,0.6,61.0,9.0,6.7,14.0,Sanzaru Games,E10+
3342,Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.6,77.0,77.0,7.6,94.0,Techland,M
3343,Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.31,0.23,0.0,0.06,0.6,32.0,38.0,4.6,23.0,Ubisoft,T
3351,Split/Second,X360,2010,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.6,82.0,78.0,8.1,101.0,Black Rock Studio,E10+
3357,Muramasa: The Demon Blade,Wii,2009,Role-Playing,Rising Star Games,0.32,0.12,0.11,0.04,0.6,81.0,58.0,8.7,101.0,Vanillaware,T
3358,Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008,Misc,Disney Interactive Studios,0.37,0.16,0.01,0.06,0.6,,,,,,
3359, Frozen: Olaf's Quest,3DS,2013,Platform,Disney Interactive Studios,0.27,0.27,0.0,0.05,0.6,,,,,,
3361,Littlest Pet Shop: Garden,DS,2008,Simulation,Electronic Arts,0.31,0.23,0.0,0.06,0.6,,,tbd,,Electronic Arts,E
3362,Okami,Wii,2008,Action,Capcom,0.43,0.09,0.04,0.05,0.6,90.0,44.0,8.9,236.0,Ready at Dawn,T
3363,New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,0.11,0.13,0.33,0.02,0.6,,,,,,
3364,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,0.09,0.6,72.0,47.0,6.6,88.0,TT Games,E10+
3366,WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6,69.0,50.0,6.9,88.0,Yuke's,T
3367,Just Dance 2014,WiiU,2013,Misc,Ubisoft,0.31,0.23,0.0,0.05,0.6,72.0,13.0,7.6,45.0,Ubisoft,E10+
3368,New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,0.23,0.17,0.14,0.05,0.6,,,,,,
3369,Wipeout: The Game,DS,2010,Misc,Activision,0.56,0.0,0.0,0.04,0.6,,,tbd,,Endemol,E
3370,Avatar: The Game,PSP,2009,Action,Ubisoft,0.22,0.24,0.0,0.14,0.6,,,,,,
3371,NHL 15,PS4,2014,Sports,Electronic Arts,0.31,0.19,0.0,0.1,0.6,60.0,28.0,3.6,306.0,EA Sports,E10+
3372,Total War: Shogun 2,PC,2011,Strategy,Sega,0.19,0.31,0.0,0.09,0.6,90.0,62.0,8.3,1180.0,Creative Assembly,T
3376,Dragon Age: Inquisition,PS3,2014,Role-Playing,Electronic Arts,0.27,0.18,0.05,0.09,0.6,,,5.2,242.0,BioWare,M
3378,New Carnival Games,Wii,2010,Misc,Take-Two Interactive,0.33,0.21,0.0,0.05,0.59,,,tbd,,Cat Daddy Games,E
3380,Littlest Pet Shop: Jungle,DS,2008,Simulation,Electronic Arts,0.34,0.2,0.0,0.06,0.59,,,tbd,,Electronic Arts,E
3382,FIFA 15,PSV,2014,Sports,Electronic Arts,0.08,0.35,0.05,0.12,0.59,,,3.1,42.0,EA Sports,E
3384,Monopoly,X360,2008,Misc,Electronic Arts,0.34,0.2,0.0,0.06,0.59,56.0,9.0,5.8,17.0,EA Bright Light,E
3385,Tony Hawk: RIDE,PS3,2009,Sports,Activision,0.38,0.14,0.0,0.07,0.59,44.0,29.0,2.1,31.0,Robomodo,E10+
3389,Dead Space,PC,2008,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,86.0,28.0,8,1093.0,EA Redwood Shores,M
3392,Rock Band 2,PS2,2008,Misc,MTV Games,0.29,0.23,0.0,0.08,0.59,,,8,4.0,Harmonix Music Systems,T
3393,NHL 11,PS3,2010,Sports,Electronic Arts,0.4,0.12,0.0,0.07,0.59,88.0,38.0,7.1,54.0,Electronic Arts,E10+
3394,Yakuza 5,PS3,2012,Action,Sega,0.0,0.0,0.59,0.0,0.59,83.0,34.0,8.5,180.0,Ryu ga Gotoku Studios,M
3400,Beijing 2008,X360,2008,Sports,Sega,0.15,0.38,0.0,0.07,0.59,,,,,,
3402,WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.32,0.22,0.0,0.05,0.59,72.0,18.0,5.7,75.0,Yuke's,T
3405,Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59,88.0,24.0,8.2,1102.0,Ubisoft Montreal,M
3409,Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59,77.0,8.0,6.8,82.0,Climax Group,M
3410,Disney Sing It: Family Hits,Wii,2010,Misc,Disney Interactive Studios,0.38,0.17,0.0,0.05,0.59,,,tbd,,Disney Interactive Studios,E
3411,Blur,X360,2010,Racing,Activision,0.25,0.27,0.0,0.06,0.59,82.0,78.0,8.3,169.0,Bizarre Creations,E10+
3413,Kane & Lynch 2: Dog Days,PS3,2010,Shooter,Square Enix,0.17,0.27,0.05,0.1,0.59,,,,,,
3417,Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,0.14,0.12,0.27,0.05,0.59,66.0,5.0,5.9,242.0,Kojima Productions,M
3420,Ben 10: Alien Force,PSP,2008,Action,Koch Media,0.35,0.13,0.0,0.1,0.59,,,7.7,12.0,Monkey Bar Games,E10+
3421,Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.24,0.28,0.0,0.06,0.59,80.0,34.0,7.8,46.0,Ubisoft Montreal,T
3423,WarioWare D.I.Y.,DS,2009,Misc,Nintendo,0.17,0.18,0.2,0.04,0.59,82.0,53.0,8.7,39.0,Intelligent Systems,E
3424,Iron Man,Wii,2008,Action,Sega,0.3,0.22,0.0,0.06,0.59,44.0,14.0,7,8.0,Artificial Mind and Movement,T
3425,The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment,0.29,0.21,0.0,0.09,0.59,48.0,39.0,7.5,77.0,Coldwood Interactive,T
3427,Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.25,0.25,0.0,0.08,0.58,90.0,52.0,8.5,3069.0,Nixxes Software,M
3428,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008,Action,THQ,0.29,0.22,0.0,0.07,0.58,,,tbd,,Incinerator Games,E
3430,LEGO Indiana Jones 2: The Adventure Continues,PSP,2009,Action,Activision,0.21,0.23,0.0,0.14,0.58,,,tbd,,Traveller's Tales,E10+
3431,SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,0.39,0.13,0.02,0.04,0.58,77.0,56.0,6.2,124.0,Project Soul,T
3436,Lost: Via Domus,X360,2008,Action,Ubisoft,0.18,0.34,0.0,0.07,0.58,55.0,50.0,6.4,58.0,Ubisoft Montreal,T
3437,Top Spin 3,Wii,2008,Action,Take-Two Interactive,0.15,0.37,0.0,0.07,0.58,68.0,18.0,5.7,29.0,Pam Development,E
3438,Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.17,0.0,0.05,0.58,33.0,6.0,3.7,9.0,Farsight Studios,E
3440,Call of Duty: Black Ops,DS,2010,Shooter,Activision,0.5,0.04,0.0,0.04,0.58,74.0,13.0,6,54.0,n-Space,T
3441,Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,0.31,0.23,0.0,0.04,0.58,,,,,,
3442,NCAA Football 09,PS3,2008,Sports,Electronic Arts,0.54,0.0,0.0,0.04,0.58,81.0,20.0,7.3,25.0,EA Tiburon,E
3443,Sonic & All-Stars Racing Transformed,X360,2012,Racing,Sega,0.2,0.33,0.0,0.05,0.58,,,,,,
3444,MLB 11: The Show,PS3,2011,Sports,Sony Computer Entertainment,0.54,0.0,0.0,0.04,0.58,90.0,30.0,7.8,87.0,SCEA San Diego Studios,E
3445,Jeopardy!,Wii,2010,Misc,THQ,0.55,0.0,0.0,0.04,0.58,,,,,,
3446,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010,Shooter,Activision,0.38,0.15,0.0,0.05,0.58,,,,,,
3447,Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,0.38,0.15,0.0,0.05,0.58,68.0,31.0,5.1,15.0,Asobo Studio,E
3449,Skylanders SWAP Force,WiiU,2013,Platform,Activision,0.38,0.15,0.0,0.05,0.58,89.0,7.0,6,96.0,Vicarious Visions,E10+
3451,Guitar Hero: Smash Hits,Wii,2009,Misc,Activision,0.31,0.21,0.0,0.06,0.58,74.0,17.0,7.7,6.0,Beenox,T
3452,Tom Clancy's HAWX,X360,2009,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58,73.0,64.0,7.3,51.0,Ubisoft Romania,T
3453,Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,70.0,51.0,7.9,181.0,Spicy Horse,M
3454,Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,0.28,0.0,0.27,0.03,0.58,83.0,48.0,8.3,251.0,Atlus,M
3459,NHL 12,PS3,2011,Sports,Electronic Arts,0.36,0.15,0.0,0.07,0.58,86.0,33.0,7.5,52.0,Electronic Arts,E10+
3468,FIFA Soccer 10,DS,2009,Sports,Electronic Arts,0.14,0.37,0.0,0.07,0.58,,,7.6,5.0,Exient Entertainment,E
3469,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58,71.0,53.0,8.3,55.0,CyberConnect2,T
3473,Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,Square Enix,0.22,0.1,0.23,0.03,0.58,71.0,49.0,7.1,38.0,Matrix Software,E10+
3474,Rayman Legends,PS3,2013,Platform,Ubisoft,0.14,0.34,0.0,0.1,0.58,91.0,23.0,8.7,310.0,Ubisoft Montpellier,E10+
3476,FIFA Soccer,PSV,2012,Sports,Electronic Arts,0.16,0.32,0.02,0.08,0.58,79.0,45.0,7.2,79.0,Electronic Arts,E
3479,Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,0.52,0.02,0.0,0.04,0.58,,,,,,
3484,Skate it,Wii,2008,Sports,Electronic Arts,0.5,0.03,0.0,0.04,0.58,70.0,37.0,8.4,25.0,Electronic Arts,E
3485,Pro Evolution Soccer 2015,PS3,2014,Sports,Konami Digital Entertainment,0.1,0.2,0.22,0.06,0.58,,,7.8,34.0,Konami,E
3486,London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,0.07,0.44,0.0,0.07,0.58,,,,,,
3488,NCAA Football 10,PS2,2009,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.58,,,tbd,,EA Tiburon,E
3489,Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.35,0.18,0.0,0.05,0.57,76.0,4.0,8.3,6.0,High Impact Games,E10+
3492,Hasbro Family Game Night,PS2,2008,Puzzle,Electronic Arts,0.28,0.22,0.0,0.07,0.57,,,tbd,,EA Bright Light,E
3496,Payday 2,X360,2013,Shooter,505 Games,0.33,0.19,0.0,0.05,0.57,75.0,18.0,6.3,203.0,Overkill Software,M
3500,XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,0.24,0.23,0.0,0.1,0.57,89.0,20.0,8.2,296.0,Firaxis Games,M
3503,Ben 10: Alien Force,PS2,2008,Action,Koch Media,0.22,0.02,0.0,0.33,0.57,,,5.3,6.0,Monkey Bar Games,E10+
3504,Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,0.32,0.2,0.0,0.05,0.57,82.0,8.0,4.9,62.0,Vicarious Visions,E10+
3505,Cabela's Dangerous Hunts 2011,Wii,2010,Sports,Activision,0.52,0.02,0.0,0.04,0.57,,,tbd,,Activision,T
3506,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,0.02,0.18,0.0,0.38,0.57,81.0,31.0,8,72.0,The Sims Studio,T
3509,Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.37,0.15,0.0,0.05,0.57,87.0,31.0,8,261.0,Respawn Entertainment,M
3510,BlazBlue: Calamity Trigger,PS3,2009,Fighting,PQube,0.36,0.1,0.06,0.06,0.57,87.0,50.0,8.4,112.0,Arc System Works,T
3512,Iron Man,X360,2008,Action,Sega,0.27,0.24,0.0,0.06,0.57,45.0,43.0,5.9,52.0,Secret Level,T
3516,NHL 10,PS3,2009,Sports,Electronic Arts,0.38,0.12,0.0,0.07,0.57,88.0,35.0,7.9,40.0,EA Canada,E10+
3517,Zumba Fitness,PS3,2010,Sports,505 Games,0.28,0.21,0.0,0.08,0.57,,,3.8,4.0,"Pipeworks Software, Inc.",E
3518,Rock Band 3,PS3,2010,Misc,MTV Games,0.43,0.08,0.0,0.05,0.57,91.0,34.0,8,95.0,Harmonix Music Systems,T
3521,Rapala: We Fish,Wii,2009,Sports,Activision,0.52,0.01,0.0,0.04,0.57,,,tbd,,Activision,E
3522,Harvest Moon: Sunshine Islands,DS,2008,Simulation,Rising Star Games,0.35,0.03,0.17,0.03,0.57,,,,,,
3523,WWE 2K15,XOne,2014,Sports,Take-Two Interactive,0.29,0.23,0.0,0.05,0.57,56.0,25.0,5.7,63.0,Yuke's,T
3528,Defiance,X360,2013,Shooter,Trion Worlds,0.38,0.14,0.0,0.05,0.57,60.0,27.0,7.2,249.0,Trion Worlds,M
3529,Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,Nippon Ichi Software,0.27,0.11,0.14,0.05,0.57,80.0,39.0,7.8,126.0,Nippon Ichi Software,T
3530,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008,Action,THQ,0.52,0.0,0.0,0.04,0.57,,,6,5.0,Natsume,E
3532,Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.26,0.21,0.0,0.1,0.57,67.0,16.0,6.4,107.0,id Software,M
3535,Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,0.1,0.11,0.29,0.06,0.57,74.0,4.0,6.3,8.0,Konami,E
3536,The Conduit,Wii,2009,Shooter,Sega,0.28,0.23,0.0,0.06,0.57,69.0,79.0,8.2,258.0,High Voltage Software,T
3537,Trivial Pursuit,Wii,2009,Misc,Electronic Arts,0.2,0.3,0.0,0.07,0.57,67.0,11.0,tbd,,EA Bright Light,E
3538,Just Dance 2016,WiiU,2015,Misc,Ubisoft,0.27,0.25,0.0,0.05,0.57,73.0,7.0,6.9,11.0,Ubisoft,E10+
3539,Disney Universe,X360,2011,Action,Disney Interactive Studios,0.37,0.14,0.0,0.05,0.57,66.0,31.0,5.3,13.0,Eurocom Entertainment Software,E10+
3542,Top Spin 3,PS3,2008,Action,Take-Two Interactive,0.08,0.36,0.0,0.12,0.57,75.0,36.0,7.5,20.0,Pam Development,E
3547,Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,0.32,0.0,0.21,0.03,0.57,78.0,33.0,8.1,122.0,Neverland,E10+
3548,3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77.0,66.0,8,96.0,Silicon Studio,E10+
3549,Up,Wii,2009,Action,THQ,0.22,0.28,0.0,0.06,0.56,62.0,6.0,8,4.0,Asobo Studio,E10+
3551,Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.05,0.07,0.42,0.02,0.56,,,8,47.0,"Namco Bandai Games, Bandai Namco Games",T
3554,Petz Wild Animals: Tigerz,DS,2008,Simulation,Ubisoft,0.52,0.0,0.0,0.04,0.56,,,tbd,,Magic Pockets,E
3557,Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,0.27,0.14,0.12,0.04,0.56,,,,,,
3558,Titanfall,PC,2014,Shooter,Electronic Arts,0.22,0.3,0.0,0.04,0.56,86.0,29.0,6.2,1727.0,Respawn Entertainment,M
3562,The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,Vivendi Games,0.34,0.17,0.0,0.05,0.56,64.0,11.0,6.5,19.0,Etranges Libellules,E10+
3567,"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.25,0.26,0.0,0.06,0.56,76.0,57.0,7.8,232.0,Relic,M
3569,Top Spin 3,X360,2008,Action,Take-Two Interactive,0.09,0.4,0.0,0.07,0.56,78.0,47.0,7.6,36.0,Pam Development,E
3572,LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,0.4,0.11,0.0,0.05,0.56,71.0,50.0,7.2,31.0,TT Fusion,E10+
3577,Tom Clancy's HAWX,PS3,2009,Action,Ubisoft,0.21,0.22,0.05,0.09,0.56,74.0,35.0,8.1,39.0,Ubisoft Romania,T
3580,Minecraft: Story Mode,XOne,2015,Adventure,Mojang,0.3,0.21,0.0,0.05,0.56,,,,,,
3581,Jillian Michaels Fitness Ultimatum 2010,Wii,2009,Sports,Majesco Entertainment,0.51,0.01,0.0,0.04,0.56,,,tbd,,Collision Studios,E
3584,Bolt,Wii,2008,Adventure,Disney Interactive Studios,0.19,0.31,0.0,0.06,0.56,50.0,4.0,5.8,5.0,Avalanche Software,E10+
3594,Yokai Sangokushi,3DS,2016,Action,Level 5,0.0,0.0,0.56,0.0,0.56,,,,,,
3598,Wolfenstein,X360,2009,Shooter,Activision,0.28,0.22,0.0,0.06,0.56,72.0,66.0,7.5,128.0,"id Software, Raven Software",M
3604,Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,0.33,0.16,0.02,0.05,0.56,72.0,19.0,5.8,4.0,"Tetris Online, Inc",E
3605,DS Bimoji Training,DS,2008,Misc,Nintendo,0.0,0.0,0.56,0.0,0.56,,,,,,
3606,Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,0.21,0.17,0.09,0.08,0.56,83.0,73.0,8.5,625.0,SCE Japan Studio,T
3607,Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56,77.0,106.0,6.8,1659.0,Remedy Entertainment,M
3610,Middle-Earth: Shadow of Mordor,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0.01,0.09,0.56,,,3.4,100.0,Behaviour Interactive,M
3612,FIFA 15,Wii,2014,Sports,Electronic Arts,0.15,0.37,0.0,0.04,0.56,,,4.3,12.0,EA Sports,E
